id,code,name,reconcile,user_type_id/id,chart_template_id/id,currency_id/id
account_411004,411004,銷貨收入-OB,FALSE,data_account_type_operating_income,l10n_chart_ovis,
account_411007,411007,銷貨收入-NP,FALSE,data_account_type_operating_income,l10n_chart_ovis,
account_411012,411012,銷貨收入-新OV,FALSE,data_account_type_operating_income,l10n_chart_ovis,
account_411020,411020,銷貨收入-模具,FALSE,data_account_type_operating_income,l10n_chart_ovis,
account_411021,411021,銷貨收入-OB模具,FALSE,data_account_type_operating_income,l10n_chart_ovis,
account_411022,411022,銷貨收入-OV模具,FALSE,data_account_type_operating_income,l10n_chart_ovis,
account_411050,411050,銷貨收入-客供品,FALSE,data_account_type_operating_income,l10n_chart_ovis,
account_411904,411904,銷貨退回-OB,FALSE,data_account_type_operating_income,l10n_chart_ovis,
account_411907,411907,銷貨退回-NP,FALSE,data_account_type_operating_income,l10n_chart_ovis,
account_412004,412004,銷貨折讓-OB,FALSE,data_account_type_operating_income,l10n_chart_ovis,
account_4301,4301,勞務收入,FALSE,data_account_type_operating_income,l10n_chart_ovis,
account_430101,430101,勞務收入-OB,FALSE,data_account_type_operating_income,l10n_chart_ovis,
account_520111,520111,期初原料,FALSE,account.data_account_type_direct_costs,l10n_chart_ovis,
account_52011201,52011201,本期進料,FALSE,account.data_account_type_direct_costs,l10n_chart_ovis,
account_52011202,52011202,本期進料-新OV,FALSE,account.data_account_type_direct_costs,l10n_chart_ovis,
account_52011203,52011203,本期進料-OB,FALSE,account.data_account_type_direct_costs,l10n_chart_ovis,
account_52011204,52011204,本期進料-模具,FALSE,account.data_account_type_direct_costs,l10n_chart_ovis,
account_52011205,52011205,本期進料-內購,FALSE,account.data_account_type_direct_costs,l10n_chart_ovis,
account_52011206,52011206,本期進料-外購,FALSE,account.data_account_type_direct_costs,l10n_chart_ovis,
account_52011207,52011207,本期進料-NP,FALSE,account.data_account_type_direct_costs,l10n_chart_ovis,
account_52011209,52011209,本期進料-NP勞務,FALSE,account.data_account_type_direct_costs,l10n_chart_ovis,
account_52011210,52011210,本期進料-新磐古,FALSE,account.data_account_type_direct_costs,l10n_chart_ovis,
account_52011211,52011211,本期進料-客供品,FALSE,account.data_account_type_direct_costs,l10n_chart_ovis,
account_52011301,52011301,進料退出,FALSE,account.data_account_type_direct_costs,l10n_chart_ovis,
account_52011302,52011302,進料退出-OV,FALSE,account.data_account_type_direct_costs,l10n_chart_ovis,
account_52011303,52011303,進料退出-OB,FALSE,account.data_account_type_direct_costs,l10n_chart_ovis,
account_52011304,52011304,進料退出-新磐古,FALSE,account.data_account_type_direct_costs,l10n_chart_ovis,
account_52011305,52011305,進料退出-內購,FALSE,account.data_account_type_direct_costs,l10n_chart_ovis,
account_52011306,52011306,進料退出-外購,FALSE,account.data_account_type_direct_costs,l10n_chart_ovis,
account_520115,520115,期末原料,FALSE,account.data_account_type_direct_costs,l10n_chart_ovis,
account_520116,520116,期末原料-在途,FALSE,account.data_account_type_direct_costs,l10n_chart_ovis,
account_52012001,52012001,製-直接人工(01),FALSE,account.data_account_type_direct_costs,l10n_chart_ovis,
account_52012002,52012002,製-加班費(01),FALSE,account.data_account_type_direct_costs,l10n_chart_ovis,
account_52012003,52012003,製-各項津貼(01),FALSE,account.data_account_type_direct_costs,l10n_chart_ovis,
account_52012004,52012004,製-直接人工(02),FALSE,account.data_account_type_direct_costs,l10n_chart_ovis,
account_52012005,52012005,製-加班費(02),FALSE,account.data_account_type_direct_costs,l10n_chart_ovis,
account_52012006,52012006,製-各項津貼(02),FALSE,account.data_account_type_direct_costs,l10n_chart_ovis,
account_52012007,52012007,製-間接人工,FALSE,account.data_account_type_direct_costs,l10n_chart_ovis,
account_52012008,52012008,製-加班費(間接),FALSE,account.data_account_type_direct_costs,l10n_chart_ovis,
account_52012009,52012009,製-各項津貼(間接),FALSE,account.data_account_type_direct_costs,l10n_chart_ovis,
account_52012010,52012010,製-伙食費,FALSE,account.data_account_type_direct_costs,l10n_chart_ovis,
account_52012011,52012011,製-職工福利,FALSE,account.data_account_type_direct_costs,l10n_chart_ovis,
account_52012012,52012012,製-獎金,FALSE,account.data_account_type_direct_costs,l10n_chart_ovis,
account_52012013,52012013,製-運費,FALSE,account.data_account_type_direct_costs,l10n_chart_ovis,
account_52012015,52012015,製-郵電費,FALSE,account.data_account_type_direct_costs,l10n_chart_ovis,
account_52012016,52012016,製-修繕費,FALSE,account.data_account_type_direct_costs,l10n_chart_ovis,
account_52012017,52012017,製-包裝費,FALSE,account.data_account_type_direct_costs,l10n_chart_ovis,
account_52012018,52012018,製-水電費,FALSE,account.data_account_type_direct_costs,l10n_chart_ovis,
account_52012019,52012019,製-重工費,FALSE,account.data_account_type_direct_costs,l10n_chart_ovis,
account_52012020,52012020,製-加工費,FALSE,account.data_account_type_direct_costs,l10n_chart_ovis,
account_52012021,52012021,製-雜項購置(一般),FALSE,account.data_account_type_direct_costs,l10n_chart_ovis,
account_52012022,52012022,製-雜費,FALSE,account.data_account_type_direct_costs,l10n_chart_ovis,
account_52012023,52012023,製-進出口費用,FALSE,account.data_account_type_direct_costs,l10n_chart_ovis,
account_52012024,52012024,製-樣品費,FALSE,account.data_account_type_direct_costs,l10n_chart_ovis,
account_52012025,52012025,製-雜項購置(設備),FALSE,account.data_account_type_direct_costs,l10n_chart_ovis,
account_6101,6101,薪資支出,FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_6102,6102,職務加給(津貼),FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_6103,6103,薪資-獎金,FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_6105,6105,伙食費,FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_610801,610801,退休金支出(舊),FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_610802,610802,退休金支出(新),FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_6109,6109,租金支出,FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_6110,6110,保險費,FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_6111,6111,文具用品,FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_6112,6112,旅費,FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_6113,6113,運費,FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_6114,6114,郵電費,FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_6115,6115,修繕費,FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_6117,6117,水電瓦斯費,FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_6118,6118,交際費,FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_6119,6119,職工福利,FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_6120,6120,折舊,FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_6122,6122,檢驗費,FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_612301,612301,佣金支出-OB,FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_612310,612310,佣金支出,FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_612501,612501,雜項購置(一般),FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_612601,612601,勞務費-會計師費用,FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_612602,612602,勞務費-顧問費,FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_612901,612901,銀行手續費-銀行,FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_6128,6128,樣品費,FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_6130,6130,保全費,FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_6131,6131,汽車保養修繕費,FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_6132,6132,燃料費,FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_6133,6133,交通費,FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_6134,6134,醫藥費,FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_6135,6135,管理費,FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_6136,6136,日用品,FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_6137,6137,服裝費,FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_6139,6139,服務費,FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_6143,6143,雜費,FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
account_6144,6144,進出口費用,FALSE,data_account_type_operating_expenses,l10n_chart_ovis,
